airline,airline_id,total_routes
FR,4296,2484
AA,24,2354
UA,5209,2180
DL,2009,1981
US,5265,1960
CZ,1767,1454
MU,1758,1263
CA,751,1260
WN,4547,1146
U2,2297,1130
AF,137,1071
LH,3320,923
AZ,596,877
IB,2822,831
KL,3090,830
ZH,4611,815
AB,214,798
FL,1316,726
AC,330,705
TK,4951,656
DY,3737,576
HU,2660,555
BA,1355,549
NH,324,547
AS,439,530
SK,4319,504
TO,8745,488
SU,130,473
4U,2548,470
W6,5461,462
QF,4089,432
AM,321,431
B6,3029,399
AD,13983,397
AI,218,393
3U,4608,392
JL,2987,388
MF,5484,386
VY,2439,384
SV,4533,380
G4,35,378
GS,690,358
WS,5416,341
ET,2220,337
MH,3378,336
DE,1868,334
JJ,4867,333
G3,1790,332
AY,2350,328
SC,4599,314
LS,3026,302
UN,5067,300
KE,3163,292
9W,3000,292
LX,4559,290
VA,5360,290
EK,2183,289
AV,515,286
LA,3200,285
S7,4329,281
QR,4091,278
BE,2421,268
OZ,28,262
JT,3290,251
GA,2520,248
PC,3926,242
NK,4687,242
PK,3871,242
OS,491,240
AT,4248,240
HV,5039,233
NZ,345,233
AH,794,232
U6,5234,232
TP,4869,229
EY,2222,228
6E,2850,227
EI,837,226
X3,2681,226
7H,16726,224
A3,96,222
F9,2468,222
JD,6557,214
CX,1680,213
SQ,4435,212
VN,5309,211
ZB,220,210
WF,5439,210
MS,2143,205
SA,4305,202
Y4,5325,197
SG,4375,196
VS,5347,195
FM,4609,193
TG,4940,193
SN,1531,190
IR,2922,186
CM,1889,184
5J,1683,184
AK,576,180
S2,241,180
EP,2923,179
IG,3463,173
CI,1756,172
JQ,3052,163
UX,90,158
9C,15999,155
AR,412,154
TU,4870,151
HY,5281,151
A5,1203,150
FZ,14485,148
HO,3081,145
PR,3952,144
KQ,3126,142
TOM,5013,139
TS,1317,138
V7,20577,136
G9,329,130
8L,2942,130
PS,5282,127
TCX,4897,125
RJ,4259,122
LO,3210,120
KC,1006,118
BR,2091,118
4O,17885,114
BT,333,112
OU,1925,112
HG,3661,111
OK,1946,111
OA,3776,110
XY,3754,110
LG,3329,110
BK,4026,106
SJ,4454,106
O6,3764,104
VB,10646,102
XQ,4573,99
KN,10741,98
WY,3778,98
PX,328,97
ST,2547,96
KA,2056,96
IY,5496,96
VT,692,96
G5,15837,94
MI,4750,93
UL,4349,93
NF,524,92
FD,4947,92
GE,5038,92
RO,5179,92
PN,12978,90
ZL,4178,88
HQ,2684,88
AP,240,88
9K,1629,86
KM,242,84
R3,1287,83
B2,1478,82
CG,1308,82
S4,4304,81
V0,1886,80
DV,4840,80
GL,921,80
EU,2193,80
KU,3179,79
G8,2575,77
GF,2638,77
JU,19582,77
9R,4691,76
Y7,13088,76
TR,4936,76
UR,15814,76
IX,569,76
MD,1066,75
WT,,75
PG,1422,75
7F,2354,74
HA,2688,74
LN,3258,74
W3,20976,74
8E,1472,74
LY,2150,73
7R,1469,72
ZI,21,72
IOS,2951,72
DT,5133,71
QS,5097,67
3M,20710,67
FJ,879,66
VX,5331,66
ME,3490,65
5T,1623,65
BW,1663,64
3H,,64
NL,4311,64
QZ,2857,62
LI,3251,62
YC,9828,62
W2,18553,62
NS,16136,62
ZK,2607,61
IE,4797,60
CU,1936,59
UP,1403,58
Q6,753,58
BC,4740,58
QG,19305,58
FB,1548,56
NX,316,56
AE,3392,56
J2,197,54
TM,9541,54
FI,2835,53
MO,502,52
KY,13704,52
MJ,3342,52
B7,9082,50
9N,19810,50
H2,4737,49
HX,2773,49
BV,1463,49
EQ,4863,48
QV,3233,48
SZ,10122,48
B9,543,46
2Z,1729,46
NT,1539,46
9E,3976,46
DD,3674,46
OD,18732,46
BG,1359,46
9M,,46
7I,18944,45
3O,9818,44
8U,32,44
MK,1057,43
TV,5333,42
VW,1290,42
PB,,42
XK,1909,42
TT,4937,42
2B,410,42
WU,13757,42
2N,3652,41
BU,16508,41
WB,4292,40
JP,83,40
FY,2353,40
K5,10765,39
JV,1434,39
8V,55,39
Z8,603,39
9U,1073,38
SY,4356,38
VR,5041,38
WJ,5399,38
F7,2420,38
3K,3021,36
YN,,36
K2,2245,36
4Y,1173,36
BJ,3740,36
8Q,3788,36
GQ,1492,36
D7,2417,36
TF,3386,36
P6,,36
SW,153,35
8R,5188,35
NHG,3574,34
BB,4335,34
2P,897,34
YK,1943,34
GV,386,34
FO,476,34
BM,312,34
PD,4021,34
VJ,5651,34
SD,4521,34
QH,882,34
7J,9531,34
7C,2994,33
TL,338,33
Z2,9764,32
T3,2117,32
FW,2826,32
4H,8463,32
KK,995,32
DN,17094,32
SE,5479,32
MY,3498,32
UJ,11811,32
8P,3856,32
MM,17675,32
CY,1942,31
9V,20004,31
PW,4031,31
WX,1792,30
SS,1908,30
Y8,16725,30
L6,16942,30
6R,1340,30
Q2,13108,30
3G,595,30
J9,2993,30
BI,4255,30
5C,1581,29
W9,970,29
BX,5982,28
SP,4429,28
TX,567,28
JY,14849,28
KS,3935,28
GK,14118,28
OB,462,28
YI,16475,27
4W,,27
7P,1500,27
R7,622,26
XU,,26
3L,2916,26
HD,2765,26
YM,3539,26
B5,2395,26
OV,2218,26
LJ,9810,26
HF,2682,25
IL,10121,25
WM,16149,25
QC,16415,25
BP,683,24
3S,11741,24
Q9,11838,24
OR,1299,24
JH,13200,24
LR,3197,24
TZ,17891,24
UU,1191,24
T7,4965,24
W5,3370,24
UG,5085,24
SX,18543,24
Y9,3148,23
TY,2825,23
A4,4550,23
KX,1682,23
FG,125,22
5N,503,22
SB,139,22
KR,1844,22
DG,4475,22
ZE,9809,22
K6,13899,22
NU,2990,22
6T,5813,22
2J,470,22
P4,18169,21
2G,1654,21
MR,13335,21
KB,2058,20
Z6,16120,20
PY,4752,20
RX,19676,20
I6,10955,20
LM,3287,20
3R,3545,20
IZ,231,20
UO,2774,20
4G,2524,20
GR,508,20
DC,2585,20
SI,4438,20
MW,3437,19
M4,15893,19
M5,3123,18
D2,20270,18
2I,8359,18
A9,2538,18
5H,8576,18
FE,4044,18
P0,4066,18
HS,,18
BL,3850,18
EG,2989,18
YT,16133,18
J3,3734,18
PZ,5156,18
5Q,18232,18
JE,3393,18
RZ,2226,17
TN,225,17
K3,20963,17
HZ,4808,17
FS,4513,17
QN,426,16
LC,5354,16
PM,5016,16
UE,3589,16
RI,3391,16
TW,16624,16
T5,5083,16
DX,1954,16
P9,11763,16
PL,179,16
ID,2896,16
NP,17083,16
U7,3721,16
J5,10912,15
P2,,15
S5,4822,15
2L,2750,14
YQ,16882,14
TA,2622,14
YJ,,14
Q8,3857,14
F2,2409,14
XL,1034,14
MN,1829,14
4Q,10758,14
TJ,18529,14
QL,1206,14
Q7,20686,14
W4,16660,14
CC,221,13
GZ,4234,13
DH,10128,13
4N,341,13
3F,16262,12
E2,20047,12
OM,3354,12
EO,2293,12
6H,2954,12
6L,,12
Z3,1266,12
M6,246,12
LT,19610,12
2K,1338,12
EN,807,12
VH,9666,12
QB,2541,12
UM,608,12
8B,17408,12
8M,3432,12
4T,1401,12
TE,2418,11
NY,896,10
2O,146,10
8T,68,10
E5,16963,10
LW,3865,10
A2,19804,10
CN,9829,10
V9,10800,10
6W,4805,10
HW,2748,10
SH,10675,10
JA,132,10
P1,,10
3E,10739,10
4M,3201,10
Z4,5523,10
RG,5368,10
CE,3613,10
WW,1441,10
PI,3969,10
HM,319,10
RL,11857,9
5U,,9
RC,881,9
R2,3805,9
8D,1109,8
J4,10737,8
Z9,18825,8
7S,,8
ZD,,8
C8,1750,8
OC,11794,8
K8,11808,8
I8,18828,8
OJ,3826,8
