airport,outgoing_routes,incoming_routes,total_connectivity
ATL,915,911,1826
ORD,558,550,1108
PEK,535,534,1069
LHR,527,524,1051
CDG,524,517,1041
FRA,497,493,990
LAX,492,498,990
DFW,469,467,936
JFK,456,455,911
AMS,453,450,903
PVG,411,414,825
SIN,408,412,820
BCN,391,392,783
ICN,370,370,740
DEN,361,374,735
MIA,368,366,734
MUC,368,360,728
IST,357,360,717
DXB,356,354,710
HKG,355,355,710
LGW,356,352,708
CAN,338,336,674
FCO,331,331,662
MAD,330,331,661
BKK,326,330,656
DME,324,325,649
CTU,324,323,647
YYZ,319,317,636
BRU,316,315,631
MAN,316,311,627
VIE,308,308,616
CLT,301,299,600
PHL,289,287,576
NRT,286,289,575
DUS,285,285,570
XIY,283,280,563
PMI,271,277,548
KMG,273,272,545
CKG,270,270,540
DEL,264,263,527
TPE,264,263,527
KUL,257,257,514
PHX,251,257,508
HGH,252,254,506
EWR,253,252,505
SFO,249,250,499
LAS,246,252,498
ZRH,247,247,494
IAH,243,242,485
MEX,243,242,485
AUH,241,236,477
MCO,237,238,475
SZX,234,233,467
XMN,233,233,466
CPH,229,228,457
BOM,227,225,452
ARN,219,220,439
LIS,214,221,435
DTW,216,217,433
MSP,218,212,430
BOS,212,212,424
TXL,208,210,418
DUB,207,207,414
SHA,205,206,411
AGP,206,204,410
SYD,208,202,410
ORY,201,203,404
ATH,197,206,403
SEA,201,202,403
SVO,199,198,397
DCA,196,192,388
GRU,193,194,387
IAD,196,190,386
MNL,193,193,386
MXP,192,194,386
CSX,189,188,377
DOH,189,188,377
JED,194,182,376
TAO,188,188,376
FLL,186,188,374
WUH,187,187,374
YUL,184,185,369
LED,184,184,368
CGK,185,182,367
OSL,180,183,363
PRG,180,181,361
CGO,174,174,348
STN,173,170,343
NKG,165,165,330
GVA,166,163,329
HAM,161,160,321
JNB,159,162,321
HEL,159,161,320
TFS,159,159,318
LGA,158,158,316
HND,157,158,315
YVR,158,157,315
ALC,157,157,314
CUN,157,154,311
LPA,154,154,308
BOG,152,155,307
URC,153,153,306
KIX,152,152,304
CAI,151,152,303
BNE,152,144,296
TSN,147,147,294
SAW,145,145,290
BWI,142,144,286
DLC,142,143,285
SLC,141,137,278
TPA,138,138,276
LYS,135,140,275
KWE,137,137,274
RUH,136,138,274
STR,137,136,273
SHE,136,136,272
MDW,139,132,271
TLV,136,135,271
TNA,135,135,270
MEL,137,132,269
NCE,135,134,269
FOC,133,133,266
CGN,134,131,265
MRS,136,129,265
BHX,133,131,264
HRB,129,130,259
NBO,130,128,258
AYT,127,126,253
CMN,125,125,250
MSY,123,125,248
VCE,122,123,245
WAW,120,120,240
KWI,120,119,239
SAN,119,119,238
EDI,119,118,237
ACE,116,117,233
CTA,115,118,233
HNL,118,115,233
LIM,115,115,230
PDX,113,117,230
NNG,114,114,228
YYC,115,113,228
OTP,112,115,227
MLA,113,113,226
AMM,111,112,223
STL,114,107,221
TYN,110,110,220
HER,110,109,219
SGN,109,109,218
SYX,109,109,218
HAK,108,107,215
ADD,105,109,214
KWL,107,107,214
LTN,108,106,214
AKL,96,117,213
PTY,106,106,212
FAO,106,105,211
MAA,107,104,211
MCT,104,104,208
SJU,102,102,204
CMB,101,102,203
IBZ,99,103,202
KBP,102,100,202
OPO,100,102,202
RIX,101,101,202
DPS,100,101,201
BRS,100,100,200
SVX,98,101,199
BSB,98,99,197
GLA,100,96,196
BLR,97,98,195
BUD,98,97,195
SHJ,97,98,195
CCU,97,97,194
GIG,98,96,194
EMA,95,97,192
FUE,97,95,192
LCA,93,97,190
BSL,95,94,189
GDL,93,92,185
NTE,92,91,183
PER,92,90,182
CCS,90,91,181
OVB,87,90,177
BLQ,88,88,176
TUN,87,88,175
ALG,87,87,174
HAN,87,87,174
HET,87,87,174
SKG,87,87,174
KHN,86,86,172
BEG,86,85,171
VKO,86,85,171
BAH,84,86,170
FUK,85,85,170
NGO,84,85,169
CRL,84,84,168
LHW,84,84,168
NGB,84,84,168
RHO,82,86,168
AUS,83,84,167
RDU,83,84,167
NCL,84,81,165
SXF,83,82,165
BNA,82,82,164
DMM,82,82,164
SJW,82,82,164
VLC,82,81,163
BGY,81,81,162
CTS,81,81,162
WNZ,81,81,162
CLE,81,80,161
TLS,78,83,161
LBA,80,80,160
NAY,80,80,160
PUS,80,80,160
TAS,81,79,160
MCI,82,77,159
MFM,79,79,158
NAP,79,79,158
SCL,79,79,158
HFE,77,77,154
HAJ,76,76,152
PSA,76,76,152
CVG,75,75,150
EZE,75,74,149
HOU,79,70,149
