city,country,airport_count
New York,United States,50
Berlin,Germany,47
Toronto,Canada,36
Hong Kong,Hong Kong,32
,Australia,30
Osaka,Japan,30
San Francisco,United States,29
Chicago,United States,27
London,United Kingdom,27
Tokyo,Japan,25
Paris,France,22
Beijing,China,22
Miami,United States,22
Atlanta,United States,20
Athens,Greece,19
Stockholm,Sweden,19
Kaohsiung,Taiwan,19
Amsterdam,Netherlands,19
Hamburg,Germany,19
Copenhagen,Denmark,19
Shanghai,China,17
Dusseldorf,Germany,17
Helsinki,Finland,16
Cologne,Germany,16
Moscow,Russia,16
Tianjin,China,15
Seattle,United States,13
Dresden,Germany,13
Ulleungdo,South Korea,13
Bangkok,Thailand,12
Boston,United States,12
Vienna,Austria,12
Brussels,Belgium,12
Philadelphia,United States,12
Hannover,Germany,11
Lisbon,Portugal,11
Taipei,Taiwan,11
Essen,Germany,11
New Orleans,United States,11
Milan,Italy,10
Dubai,United Arab Emirates,10
Madrid,Spain,10
Shenzhen,China,10
Rome,Italy,10
St. Petersburg,Russia,10
Munich,Germany,9
Mumbai,India,9
Johannesburg,South Africa,9
Dortmund,Germany,9
Seoul,South Korea,9
Oakland,United States,9
Singapore,Singapore,9
Delhi,India,8
Tremblay-en-France,France,8
Vancouver,Canada,8
Budapest,Hungary,8
Barcelona,Spain,8
San Diego,United States,8
Bochum,Germany,8
Edinburgh,United Kingdom,8
Croydon,United Kingdom,8
Warsaw,Poland,8
Brisbane,Australia,8
Istanbul,Turkey,8
Columbus,United States,8
Tampa,United States,7
Lille,France,7
Jacksonville,United States,7
Incheon,South Korea,7
Poznan,Poland,7
Jackson,United States,7
Montreal,Canada,7
Fort Lauderdale,United States,7
Zurich,Switzerland,7
New Taipei,Taiwan,7
San Jose,United States,7
Glasgow,United Kingdom,7
Melbourne,Australia,7
Suzhou,China,7
Cochrane,Canada,6
Orlando,United States,6
Rotterdam,Netherlands,6
Guangzhou,China,6
Baltimore,United States,6
Las Vegas,United States,6
Cleveland,United States,6
Hangzhou,China,6
Houston,United States,6
Washington,United States,6
Denver,United States,6
Prague,Czech Republic,6
Mainz,Germany,6
Richmond,United States,6
Los Angeles,United States,6
Vilamendhoo,Maldives,6
Ottawa,Canada,6
Guilin,China,6
Venice,Italy,6
Taichung,Taiwan,6
Taoyuan City,Taiwan,5
Izmir,Turkey,5
Victoria,Canada,5
Khamar-Daban,Russia,5
Columbia,United States,5
Arlington,United States,5
Springfield,United States,5
Rostock,Germany,5
Auckland,New Zealand,5
Florence,Italy,5
Busan,South Korea,5
Lyon,France,5
Gangneung,South Korea,5
Vantaa,Finland,5
Basel,Switzerland,5
Anchorage,United States,5
Baku,Azerbaijan,5
Markham,Canada,5
Sacramento,United States,5
Macau,Macau,5
Moosonee,Canada,5
Greenville,United States,5
Mulhouse,France,5
Manchester,United Kingdom,5
Rochester,United States,5
Aachen,Germany,5
Detroit,United States,5
Kyoto,Japan,5
Frankfurt,Germany,5
Buenos Aires,Argentina,5
Den Haag,Netherlands,5
Toulouse,France,4
Perth,Australia,4
Nagoya,Japan,4
Spokane,United States,4
Abu Dhabi,United Arab Emirates,4
Kawasaki,Japan,4
Cape Town,South Africa,4
Newark,United States,4
Highland Park,United States,4
Burlington,Canada,4
Palo Alto,United States,4
Georgetown,United States,4
Lawrence,United States,4
Huangshan,China,4
Bilbao,Spain,4
Colombo,Sri Lanka,4
Evanston,United States,4
Caspian Sea,Azerbaijan,4
Hiroshima,Japan,4
Algeciras,Spain,4
Harrisburg,United States,4
Aberdeen,United Kingdom,4
Montevideo,Uruguay,4
Santiago,Chile,4
Fremont,United States,4
Oslo,Norway,4
,India,4
Hialeah,United States,4
Key West,United States,4
Granada,Spain,4
Rouen,France,4
Aarhus,Denmark,4
Buffalo,United States,4
Velbert,Germany,4
Phoenix,United States,4
St. Louis,United States,4
Beverly,United States,4
Wilmington,United States,4
Portland,United States,4
Sao Paulo,Brazil,4
San Antonio,United States,4
Bergen,Norway,4
Mountain View,United States,4
Mansfield,United States,4
Taoyuan,Taiwan,4
Brunswick,United States,4
Kingston,Canada,4
Bamberg,Germany,4
Youngstown,United States,4
Trenton,United States,4
Lewiston,United States,4
Queenstown,New Zealand,4
Oxford,United States,4
Hati,Haiti,4
Dayton,United States,4
MFO,Egypt,4
Elkhart,United States,4
Juneau,United States,4
Austin,United States,4
Princeton,United States,4
Tucson,United States,4
Liverpool,United Kingdom,4
Novosibirsk,Russia,4
Itaituba,Brazil,4
Augusta,United States,4
Burlington,United States,4
Doha,Qatar,4
Milwaukee,United States,4
Riverside,United States,4
Kuala Lumpur,Malaysia,4
Petersburg,United States,4
Lancaster,United States,4
Bologna,Italy,4
Bangalore,India,4
Bratislava,Slovakia,4
Reims,France,4
Jakarta,Indonesia,4
Belfast,United Kingdom,4
Agra,India,4
Nassau,Bahamas,4
Leipzig,Germany,4
Dallas,United States,4
Rio De Janeiro,Brazil,4
Alexandria,United States,4
Magdeburg,Germany,4
Hsinchu,Taiwan,4
Philipsburg,Netherlands Antilles,4
Sydney,Australia,4
Kiev,Ukraine,4
Nairobi,Kenya,4
Ankara,Turkey,4
Karlsruhe,Germany,4
Wuppertal,Germany,4
Radebeul,Germany,4
Ketchikan,United States,4
Timisoara,Romania,4
Madison,United States,4
Atmautluak,United States,4
Changsha,China,3
Manaus,Brazil,3
Whittier,United States,3
Potsdam,Germany,3
Hamilton,Canada,3
Sabi Sands,South Africa,3
Albany,United States,3
Florence,United States,3
Morro de Sao Paulo,Brazil,3
Charlotte Amalie,Virgin Islands,3
St. Petersburg,United States,3
Salerno,Italy,3
Douglas,United States,3
Tak,Thailand,3
Montgomery,United States,3
Schenectady,United States,3
