country,airport_count
United States,2708
Germany,820
Canada,640
France,454
Australia,445
Russia,427
China,418
United Kingdom,371
Brazil,288
Japan,247
India,223
Indonesia,189
Sweden,183
Italy,178
Spain,145
South Africa,121
Netherlands,117
Taiwan,113
Switzerland,109
Argentina,108
Mexico,104
Finland,97
Norway,95
New Zealand,89
Turkey,84
Iran,84
Denmark,83
Colombia,81
Maldives,80
Greece,80
Philippines,77
Poland,74
Thailand,73
South Korea,71
Belgium,70
Papua New Guinea,68
Kenya,66
Greenland,64
Austria,63
Venezuela,61
Portugal,61
Ukraine,54
Pakistan,54
Peru,52
Chile,52
Malaysia,49
Algeria,49
French Polynesia,49
Saudi Arabia,46
Madagascar,45
Botswana,45
Burma,44
Ecuador,44
Congo (Kinshasa),44
Tanzania,43
Bahamas,42
Nepal,41
Nigeria,40
United Arab Emirates,40
Czech Republic,39
Kazakhstan,39
Cuba,34
Hong Kong,34
Hungary,34
Panama,33
Ethiopia,33
Vietnam,33
Marshall Islands,32
Egypt,32
Romania,31
Costa Rica,31
Morocco,29
Vanuatu,29
Mozambique,28
Angola,27
Bolivia,27
Suriname,27
Iceland,27
Solomon Islands,27
Ireland,26
French Guiana,26
Namibia,25
Israel,24
Afghanistan,23
Croatia,23
Libya,22
Sudan,21
Antarctica,21
Fiji,20
Guyana,19
Zimbabwe,19
Kiribati,18
Belarus,18
Belize,18
Sri Lanka,17
Mongolia,17
Zambia,17
Faroe Islands,17
Dominican Republic,17
Iraq,16
Uruguay,16
Azerbaijan,16
Bulgaria,16
Slovakia,15
Nicaragua,15
Puerto Rico,15
Georgia,15
Uganda,15
Somalia,14
Gabon,14
Laos,14
Honduras,14
Haiti,14
Cambodia,13
Bangladesh,13
Estonia,13
Armenia,13
Tunisia,13
Seychelles,13
Uzbekistan,13
Singapore,12
Kyrgyzstan,12
Yemen,11
Senegal,11
Malawi,11
New Caledonia,11
Netherlands Antilles,11
Lithuania,11
Mauritania,11
Oman,11
North Korea,11
Guatemala,11
South Sudan,11
Reunion,10
Cameroon,10
Mali,10
Paraguay,9
Guinea,9
Slovenia,9
Serbia,9
Jordan,8
Sierra Leone,8
Malta,8
Virgin Islands,8
Turkmenistan,8
Guadeloupe,8
Cote d'Ivoire,8
Latvia,8
Cook Islands,8
Chad,7
Niger,7
Cape Verde,7
Jamaica,7
Falkland Islands,7
Micronesia,7
Moldova,7
Tonga,6
Turks and Caicos Islands,6
Ghana,6
Cyprus,6
Syria,6
Bosnia and Herzegovina,6
Macau,5
Albania,5
Tajikistan,5
Montenegro,5
Saint Vincent and the Grenadines,5
Trinidad and Tobago,5
Congo (Brazzaville),5
Antigua and Barbuda,5
Comoros,4
Palau,4
British Virgin Islands,4
Togo,4
Qatar,4
American Samoa,4
Martinique,4
Cayman Islands,4
Svalbard,4
Bhutan,4
Brunei,4
Samoa,4
Bermuda,4
Eritrea,3
Djibouti,3
Western Sahara,3
Northern Mariana Islands,3
Rwanda,3
Dominica,3
Equatorial Guinea,3
East Timor,3
Lesotho,3
Benin,3
Kuwait,3
Central African Republic,3
Saint Kitts and Nevis,3
Grenada,3
Liberia,3
Saint Lucia,3
Lebanon,3
Guinea-Bissau,3
El Salvador,3
Montserrat,2
Guernsey,2
Sao Tome and Principe,2
Burundi,2
Saint Pierre and Miquelon,2
South Georgia and the Islands,2
Barbados,2
Swaziland,2
Aruba,2
Guam,2
Wallis and Futuna,2
Macedonia,2
Luxembourg,2
Burkina Faso,2
Bahrain,2
Mauritius,2
Anguilla,1
British Indian Ocean Territory,1
Jersey,1
Norfolk Island,1
Saint Helena,1
West Bank,1
Myanmar,1
Tuvalu,1
Isle of Man,1
Christmas Island,1
Cocos (Keeling) Islands,1
Monaco,1
Nauru,1
Gibraltar,1
Palestine,1
Midway Islands,1
Mayotte,1
Johnston Atoll,1
Ashmore and Cartier Islands,1
Gambia,1
Wake Island,1
Niue,1
Juan de Nova Island,1
