airport_id,airport_name,iata,betweenness
3484,Los Angeles International Airport,LAX,938951.2039926739
3774,Ted Stevens Anchorage International Airport,ANC,741624.2926252163
1382,Charles de Gaulle International Airport,CDG,741392.4125549552
507,London Heathrow Airport,LHR,606418.9290818468
3830,Chicago O'Hare International Airport,ORD,602901.2346542764
3364,Beijing Capital International Airport,PEK,589315.4651767538
2188,Dubai International Airport,DXB,577577.2354865414
340,Frankfurt am Main Airport,FRA,542469.2815358853
2564,Guarulhos - Governador André Franco Montoro International Airport,GRU,488009.6408384449
3316,Singapore Changi Airport,SIN,467610.9761701003
3577,Seattle Tacoma International Airport,SEA,439064.56691252196
580,Amsterdam Airport Schiphol,AMS,426253.35875157994
3682,Hartsfield Jackson Atlanta International Airport,ATL,420998.2262003319
1701,Atatürk International Airport,ISL,403852.63848109497
3361,Sydney Kingsford Smith International Airport,SYD,387471.53903639194
3320,Brisbane International Airport,BNE,360536.41782732226
4029,Domodedovo International Airport,DME,348147.6423090033
3797,John F Kennedy International Airport,JFK,344404.9068605246
2279,Narita International Airport,NRT,334459.5998673076
3670,Dallas Fort Worth International Airport,DFW,329054.6655963969
3576,Miami International Airport,MIA,303140.41475449206
3930,Incheon International Airport,ICN,301693.48809722415
193,Lester B. Pearson International Airport,YYZ,295621.4651882869
3077,Hong Kong International Airport,HKG,281501.40431083046
2709,El Dorado International Airport,BOG,274410.5263072181
3885,Suvarnabhumi Airport,BKK,273046.1850082865
813,OR Tambo International Airport,JNB,267648.16984496266
3751,Denver International Airport,DEN,266175.8441554859
1229,Adolfo Suárez Madrid–Barajas Airport,MAD,264377.5806309542
3406,Shanghai Pudong International Airport,PVG,253125.2909820834
2397,Ninoy Aquino International Airport,MNL,206302.88108122075
737,Stockholm-Arlanda Airport,ARN,200018.01471158653
3599,Bethel Airport,BET,196660.77418625206
3275,Soekarno-Hatta International Airport,CGK,189319.81938801255
2359,Tokyo Haneda International Airport,HND,180255.6726824647
3093,Indira Gandhi International Airport,DEL,176300.67082856773
644,Oslo Lufthavn,OSL,175223.9761323867
156,Vancouver International Airport,YVR,173131.211143679
3550,George Bush Intercontinental Houston Airport,IAH,173044.47625208637
3304,Kuala Lumpur International Airport,KUL,172711.7385985238
1824,Licenciado Benito Juarez International Airport,MEX,172010.3256788216
609,Copenhagen Kastrup Airport,CPH,170672.8579390991
4075,Faa'a International Airport,PPT,167549.29494392368
2442,Jorge Newbery Airpark,AEP,165042.7132609686
346,Munich Airport,MUC,164135.55912482156
5,Port Moresby Jacksons International Airport,POM,159492.5246114007
3370,Guangzhou Baiyun International Airport,CAN,158070.5783812037
2650,Comodoro Arturo Merino Benítez International Airport,SCL,157446.19684524354
146,Montreal / Pierre Elliott Trudeau International Airport,YUL,156384.9911296096
1885,Juan Santamaria International Airport,SJO,155469.74094140215
2789,Jorge Chávez International Airport,LIM,155327.74052640435
2985,Sheremetyevo International Airport,SVO,155306.66976485495
2006,Auckland International Airport,AKL,153802.9578841431
2072,King Abdulaziz International Airport,JED,146587.20012575225
1638,Humberto Delgado Airport (Lisbon Portela Airport),LIS,144910.1972045449
1107,Addis Ababa Bole International Airport,ADD,125807.2612412525
1218,Barcelona International Airport,BCN,122545.19245861153
3494,Newark Liberty International Airport,EWR,121603.71206003135
421,Helsinki Vantaa Airport,HEL,120215.12642038299
3941,Eleftherios Venizelos International Airport,ATH,120084.31884807548
1555,Leonardo da Vinci–Fiumicino Airport,FCO,118325.92001415859
2179,Abu Dhabi International Airport,AUH,116931.39989936995
3469,San Francisco International Airport,SFO,115114.04751539529
4059,Jomo Kenyatta International Airport,NBO,113618.42222006759
2851,Simón Bolívar International Airport,CCS,113079.03298788128
11051,Hamad International Airport,DOH,111947.33181463809
2997,Chhatrapati Shivaji International Airport,BOM,110754.98547463978
3448,General Edward Lawrence Logan International Airport,BOS,109258.67022744297
1386,Paris-Orly Airport,ORY,109227.97527642625
1997,Bauerfield International Airport,VLI,107754.26737730311
3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,106590.36387041485
3714,Washington Dulles International Airport,IAD,105334.62540049334
3832,Fairbanks International Airport,FAI,103838.99534409317
3877,McCarran International Airport,LAS,102920.36379601878
3728,Daniel K Inouye International Airport,HNL,102359.44536932014
4074,Honiara International Airport,HIR,102110.32282550045
178,Calgary International Airport,YYC,101014.81637426294
502,London Gatwick Airport,LGW,99109.3206742715
302,Brussels Airport,BRU,98852.46412381555
