airport_id,airport_name,iata,degree
3682,Hartsfield Jackson Atlanta International Airport,ATL,1826
3830,Chicago O'Hare International Airport,ORD,1108
3364,Beijing Capital International Airport,PEK,1069
507,London Heathrow Airport,LHR,1047
1382,Charles de Gaulle International Airport,CDG,1041
340,Frankfurt am Main Airport,FRA,990
3484,Los Angeles International Airport,LAX,990
3670,Dallas Fort Worth International Airport,DFW,936
3797,John F Kennedy International Airport,JFK,911
580,Amsterdam Airport Schiphol,AMS,903
3406,Shanghai Pudong International Airport,PVG,825
3316,Singapore Changi Airport,SIN,814
1218,Barcelona International Airport,BCN,782
3930,Incheon International Airport,ICN,740
3751,Denver International Airport,DEN,735
3576,Miami International Airport,MIA,734
346,Munich Airport,MUC,728
1701,Atatürk International Airport,ISL,715
3077,Hong Kong International Airport,HKG,708
502,London Gatwick Airport,LGW,708
2188,Dubai International Airport,DXB,699
3370,Guangzhou Baiyun International Airport,CAN,672
1555,Leonardo da Vinci–Fiumicino Airport,FCO,662
1229,Adolfo Suárez Madrid–Barajas Airport,MAD,656
3885,Suvarnabhumi Airport,BKK,654
3395,Chengdu Shuangliu International Airport,CTU,647
4029,Domodedovo International Airport,DME,646
193,Lester B. Pearson International Airport,YYZ,636
302,Brussels Airport,BRU,631
478,Manchester Airport,MAN,627
1613,Vienna International Airport,VIE,616
3876,Charlotte Douglas International Airport,CLT,598
3752,Philadelphia International Airport,PHL,576
2279,Narita International Airport,NRT,575
345,Düsseldorf Airport,DUS,570
3379,Xi'an Xianyang International Airport,XIY,563
3998,Palma De Mallorca Airport,PMI,548
3382,Kunming Changshui International Airport,KMG,545
3393,Chongqing Jiangbei International Airport,CKG,540
2276,Taiwan Taoyuan International Airport,TPE,527
3093,Indira Gandhi International Airport,DEL,517
3304,Kuala Lumpur International Airport,KUL,510
3462,Phoenix Sky Harbor International Airport,PHX,508
3386,Hangzhou Xiaoshan International Airport,HGH,506
3494,Newark Liberty International Airport,EWR,505
3469,San Francisco International Airport,SFO,499
3877,McCarran International Airport,LAS,498
1678,Zürich Airport,ZRH,494
3550,George Bush Intercontinental Houston Airport,IAH,485
1824,Licenciado Benito Juarez International Airport,MEX,483
3878,Orlando International Airport,MCO,475
2179,Abu Dhabi International Airport,AUH,473
3374,Shenzhen Bao'an International Airport,SZX,467
3383,Xiamen Gaoqi International Airport,XMN,466
609,Copenhagen Kastrup Airport,CPH,457
2997,Chhatrapati Shivaji International Airport,BOM,442
737,Stockholm-Arlanda Airport,ARN,439
1638,Humberto Delgado Airport (Lisbon Portela Airport),LIS,435
3645,Detroit Metropolitan Wayne County Airport,DTW,433
3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,430
3448,General Edward Lawrence Logan International Airport,BOS,424
351,Berlin-Tegel Airport,TXL,418
599,Dublin Airport,DUB,414
3391,Shanghai Hongqiao International Airport,SHA,411
1230,Málaga Airport,AGP,410
3361,Sydney Kingsford Smith International Airport,SYD,410
3941,Eleftherios Venizelos International Airport,ATH,403
3577,Seattle Tacoma International Airport,SEA,403
1386,Paris-Orly Airport,ORY,402
2985,Sheremetyevo International Airport,SVO,397
3520,Ronald Reagan Washington National Airport,DCA,388
2564,Guarulhos - Governador André Franco Montoro International Airport,GRU,387
3714,Washington Dulles International Airport,IAD,386
1524,Malpensa International Airport,MXP,386
2397,Ninoy Aquino International Airport,MNL,386
3371,Changsha Huanghua International Airport,CSX,377
3390,Liuting Airport,TAO,376
11051,Hamad International Airport,DOH,375
3533,Fort Lauderdale Hollywood International Airport,FLL,374
3376,Wuhan Tianhe International Airport,WUH,374
2072,King Abdulaziz International Airport,JED,371
2948,Pulkovo Airport,LED,367
3275,Soekarno-Hatta International Airport,CGK,367
644,Oslo Lufthavn,OSL,363
1587,Václav Havel Airport Prague,PRG,361
146,Montreal / Pierre Elliott Trudeau International Airport,YUL,353
3375,Zhengzhou Xinzheng International Airport,CGO,348
548,London Stansted Airport,STN,343
3388,Nanjing Lukou Airport,NKG,330
1665,Geneva Cointrin International Airport,GVA,329
342,Hamburg Airport,HAM,321
813,OR Tambo International Airport,JNB,320
421,Helsinki Vantaa Airport,HEL,320
1056,Tenerife South Airport,TFS,318
3697,La Guardia Airport,LGA,316
2359,Tokyo Haneda International Airport,HND,315
1212,Alicante International Airport,ALC,314
1852,Cancún International Airport,CUN,309
1054,Gran Canaria Airport,LPA,308
2709,El Dorado International Airport,BOG,307
3399,Ürümqi Diwopu International Airport,URC,306
3992,Kansai International Airport,KIX,304
1128,Cairo International Airport,CAI,303
156,Vancouver International Airport,YVR,303
3368,Tianjin Binhai International Airport,TSN,294
3320,Brisbane International Airport,BNE,294
4317,Sabiha Gökçen International Airport,SAW,290
3849,Baltimore/Washington International Thurgood Marshall Airport,BWI,286
3404,Zhoushuizi Airport,DLC,285
3536,Salt Lake City International Airport,SLC,278
3646,Tampa International Airport,TPA,276
3394,Longdongbao Airport,KWE,274
1335,Lyon Saint-Exupéry Airport,LYS,273
350,Stuttgart Airport,STR,273
2082,King Khaled International Airport,RUH,272
4144,Taoxian Airport,SHE,272
1590,Ben Gurion International Airport,TLV,271
4108,Yaoqiang Airport,TNA,270
3339,Melbourne International Airport,MEL,269
1354,Nice-Côte d'Azur Airport,NCE,269
3747,Chicago Midway International Airport,MDW,267
3385,Fuzhou Changle International Airport,FOC,266
344,Cologne Bonn Airport,CGN,265
469,Birmingham International Airport,BHX,264
1353,Marseille Provence Airport,MRS,261
3400,Taiping Airport,HRB,259
1688,Antalya International Airport,AYT,253
4059,Jomo Kenyatta International Airport,NBO,252
1074,Mohammed V International Airport,CMN,250
3861,Louis Armstrong New Orleans International Airport,MSY,248
1551,Venice Marco Polo Airport,VCE,245
679,Warsaw Chopin Airport,WAW,240
3731,San Diego International Airport,SAN,238
2176,Kuwait International Airport,KWI,237
535,Edinburgh Airport,EDI,237
1055,Lanzarote Airport,ACE,233
3728,Daniel K Inouye International Airport,HNL,233
1509,Catania-Fontanarossa Airport,CTA,233
3720,Portland International Airport,PDX,230
3373,Nanning Wuxu Airport,NNG,228
2789,Jorge Chávez International Airport,LIM,228
1657,Henri Coandă International Airport,OTP,227
1606,Malta International Airport,MLA,226
178,Calgary International Airport,YYC,222
3678,St Louis Lambert International Airport,STL,221
3369,Taiyuan Wusu Airport,TYN,220
1452,Heraklion International Nikos Kazantzakis Airport,HER,219
2170,Queen Alia International Airport,AMM,219
4030,Sanya Phoenix International Airport,SYX,218
3205,Tan Son Nhat International Airport,SGN,218
4120,Haikou Meilan International Airport,HAK,215
1107,Addis Ababa Bole International Airport,ADD,214
492,London Luton Airport,LTN,214
3372,Guilin Liangjiang International Airport,KWL,214
2006,Auckland International Airport,AKL,213
1871,Tocumen International Airport,PTY,212
1626,Faro Airport,FAO,211
2194,Muscat International Airport,MCT,204
2890,Luis Munoz Marin International Airport,SJU,204
3024,Bandaranaike International Colombo Airport,CMB,203
1225,Ibiza Airport,IBZ,202
1636,Francisco de Sá Carneiro Airport,OPO,202
2939,Boryspil International Airport,KBP,202
3953,Riga International Airport,RIX,202
3144,Chennai International Airport,MAA,201
3940,Ngurah Rai (Bali) International Airport,DPS,201
490,Bristol Airport,BRS,200
2975,Koltsovo Airport,SVX,198
2531,Presidente Juscelino Kubistschek International Airport,BSB,197
534,Glasgow International Airport,GLA,196
1489,Budapest Liszt Ferenc International Airport,BUD,195
2560,Rio Galeão – Tom Jobim International Airport,GIG,194
523,East Midlands Airport,EMA,192
1051,Fuerteventura Airport,FUE,192
1197,Larnaca International Airport,LCA,190
2191,Sharjah International Airport,SHJ,189
1423,EuroAirport Basel-Mulhouse-Freiburg Airport,BSL,189
3043,Netaji Subhash Chandra Bose International Airport,CCU,188
1804,Don Miguel Hidalgo Y Costilla International Airport,GDL,185
3131,Kempegowda International Airport,BLR,185
1418,Nantes Atlantique Airport,NTE,183
3351,Perth International Airport,PER,182
2851,Simón Bolívar International Airport,CCS,179
1538,Bologna Guglielmo Marconi Airport,BLQ,176
287,Tunis Carthage International Airport,TUN,175
4078,Tolmachevo Airport,OVB,175
6345,Baita International Airport,HET,174
3199,Noi Bai International Airport,HAN,174
1486,Thessaloniki Macedonia International Airport,SKG,174
