airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment
PB,,YNP,,YDP,5488,,0,DHT
PB,,YAY,24,YBX,5485,,0,SFB
P6,,YBG,28,YHU,71,,0,J32
PB,,YCL,36,YHZ,73,,0,SFB
PB,,YDF,45,YYR,188,,0,DH1 SFB
9M,,YEG,49,YOP,7266,,0,BEH
6L,,YEV,54,YHI,68,,0,DHT
3H,,YGL,62,YGW,5496,,0,DHT
P6,,YGR,65,YQB,111,,0,PL2 J32
P6,,YHU,71,YQB,111,,0,J32 PL2
PB,,YHZ,73,YCL,36,,0,SFB
3H,,YKL,80,YWK,161,,0,BET
YN,,YMO,91,YFA,5490,,0,DH1
YN,,YMO,91,YKQ,5507,,0,BEC
9M,,YOJ,99,YEG,49,,0,BEH
P6,,YQB,111,YBC,27,,0,J32
P6,,YQB,111,YHU,71,,0,J32 PL2
3H,,YQB,111,YKL,80,,0,DH8
P6,,YQB,111,YWK,161,,0,AT4
6L,,YSY,139,YHI,68,,0,DHT
YN,,YTS,143,YMO,91,,0,DH1 BEC
3H,,YUL,146,YGL,62,,0,73M
PB,,YUL,146,YWK,161,,0,DH1
P6,,YUY,149,YVO,153,,0,J32
YN,,YVO,153,YUL,146,,0,DH8
P6,,YVO,153,YUY,149,,0,J32
3H,,YVP,154,XGR,5512,,0,DHT BET
3H,,YVP,154,YPH,5520,,0,BET
3H,,YVP,154,YPX,6727,,0,BET
3H,,YVP,154,YTQ,6728,,0,DHT DH8
9M,,YVR,156,YDQ,48,,0,DH1
3H,,YWK,161,YKL,80,,0,BET
PB,,YWK,161,YYR,188,,0,DH1
3H,,YWK,161,YZV,202,,0,BET
PB,,YWK,161,ZUM,5550,,0,DH1
9M,,YWL,162,YQZ,127,,0,BEH
9M,,YXJ,168,YEG,49,,0,D38 DH3
9M,,YXJ,168,YYE,180,,0,D38 BEH DH3
WT,,YXL,169,KIF,5469,,0,BEH
WT,,YXL,169,XKS,5480,,0,BEH
WT,,YXL,169,YRL,5527,,0,BEH PL2
WT,,YXL,169,YTL,5531,,0,BEH
WT,,YXL,169,MSA,5544,,0,BEH
